fecha_opreal,hora_opreal,eolica,geotermica,hidraulica,solar,termica
2020-01-01,1,485.993824643,28.599400000000003,2888.4138109257,0.0,4884.5977301193
2020-01-01,2,490.7196736038,28.9947,3085.2793260678,0.0,4535.2040342674
2020-01-01,3,417.8137162217,28.885199999999998,3026.4748188233,0.0,4457.5580902947
2020-01-01,4,383.0206626067,28.993299999999998,2903.4537100586,0.0,4380.7803961314
2020-01-01,5,399.6972198148,28.411,2673.9614615951,0.0,4340.575591154
2020-01-01,6,460.2677032806,28.4098,2731.2295397498,0.0855153733,4031.6529124930003
2020-01-01,7,410.9141555023,28.0046,2745.0610914504,1.8067101296333334,3913.019106789
2020-01-01,8,267.7407981629,27.9437,3005.3493029514,253.5451514752,3355.0151269741
2020-01-01,9,170.7745507293,27.9202,2771.5379891698,1174.2327099988,2794.8019630302
2020-01-01,10,77.3111295407,27.3691,2680.2890377182002,1792.3932360528665,2637.2660914054
2020-01-01,11,36.4689567407,26.9535,2737.7853217561,2064.5970666175,2580.2433637192
2020-01-01,12,55.4236028977,26.268099999999997,2758.2374861076,2223.9783121334667,2607.3782938348
2020-01-01,13,142.1126233896,25.7534,2701.9625899434,2299.1093497218,2676.5690729556
2020-01-01,14,227.7681531045,26.711199999999998,2647.6110689793,2339.2935092237,2739.1024354259
2020-01-01,15,285.6720343256,27.6902,2645.6204519513,2336.780759041567,2730.4294839567
2020-01-01,16,375.1800976563,27.47,2618.9841425253,2307.613320004267,2691.7077165085
2020-01-01,17,476.9485656543,26.3143,2606.5409724447,2231.6156827477,2617.1721880062
2020-01-01,18,593.7356884044,26.1923,2772.1639693842,2018.2364685250334,2452.1726723181
2020-01-01,19,660.7911896689,25.340400000000002,2809.9958129078,1694.187584237,2699.0277765732
2020-01-01,20,631.1742096603,26.7288,3007.8451911903,813.7318289234667,3499.2666085915002
2020-01-01,21,677.7369512389,27.479799999999997,3250.0333372217,62.4012212452,4153.660910987
2020-01-01,22,692.2440142999001,27.967599999999997,3497.2866604662,0.0195790779,4523.2241533722
2020-01-01,23,600.2501345118,27.9429,3481.1483361837,0.0,4752.7806549828
2020-01-01,24,505.5404405713,28.1988,3234.2141431412,0.0,4797.2216431358
2020-01-02,1,368.9553186707,28.1869,3010.1720172814,0.0,4765.1272409737
2020-01-02,2,253.3782547607,28.3001,2784.0361381164003,0.0,4824.0348057892
2020-01-02,3,300.7921551637,28.2945,2663.8067298915,0.0,4698.892470433
2020-01-02,4,301.646022519,28.429000000000002,2770.8578105926,0.0,4490.6029763917
2020-01-02,5,266.7366939895,27.836999999999996,2738.3997403169,0.0,4487.1742544563
2020-01-02,6,261.9713725922,27.902299999999997,2703.8085228692,0.04481366,4616.1089407269
2020-01-02,7,251.373838736,27.556400000000004,2790.0432167261,1.7297760324,4691.0500962967
2020-01-02,8,230.7907513749,27.8005,2827.1232550417,252.54563583906668,4788.2959352821
2020-01-02,9,166.7810046751,27.447400000000002,2865.9426317463,1205.9402642683,4543.8381831681
2020-01-02,10,136.28009694940002,26.9851,2892.2641182979,1838.3346882094668,4561.3029492125
2020-01-02,11,104.0442698567,26.9283,2883.3247672928,2074.0762259519,4635.6171888311
2020-01-02,12,106.3395327425,26.0482,2848.1386693019,2210.2649961652,4826.7806504385
2020-01-02,13,161.5822949641,25.8073,2835.8151057229,2271.3230616473334,4900.6482994393
2020-01-02,14,227.8693655429,26.1226,3055.5940646157,2305.7460076485,4712.1295287406
2020-01-02,15,312.3241599521,26.6177,3192.2759027028,2320.6673365656666,4618.3412532051
2020-01-02,16,381.4699685987,26.61,3247.2586772473,2253.2119118351666,4598.3341763134995
2020-01-02,17,482.8664333535,26.6645,3205.3871614680997,2180.6547384434666,4549.064730119
2020-01-02,18,638.0486245618,26.7581,3020.1429723472,1956.9774897124666,4617.7374742154
2020-01-02,19,813.3902239122,26.4282,2889.8446978817,1647.3389737380667,4576.727877349
2020-01-02,20,953.7159087584,26.9962,3170.7405149694,765.5997921152333,4838.9421408904
2020-01-02,21,1016.4377730529,27.4238,3590.1208940584,58.19834974423333,5045.7833119097995
2020-01-02,22,921.7067170536,27.721,3937.0081757542,0.0164554811,5199.0612813518
2020-01-02,23,892.9535734451,28.067100000000003,3845.0630884085,4.03702e-05,5219.1618680817
2020-01-02,24,772.8455599754,28.1753,3647.1855464254,1.1053e-06,5119.9395857451
2020-01-03,1,575.2192724495,28.1034,3335.5219343795,4.3633e-06,5018.0204899246
