,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2021-08-01,1,44.0,1.0,116.0,1.0,47.0,0.8627450980392157,1.0,0.6987951807228916,0.003215434083601286,0.2422680412371134,51.0,1.0,166.0,311.0,194.0
1,2021-08-01,2,44.0,1.0,114.0,1.0,44.0,0.8627450980392157,1.0,0.6867469879518072,0.003215434083601286,0.2268041237113402,51.0,1.0,166.0,311.0,194.0
2,2021-08-01,3,43.0,1.0,112.0,1.0,43.0,0.8431372549019608,1.0,0.6746987951807228,0.003215434083601286,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
3,2021-08-01,4,41.0,1.0,113.0,1.0,43.0,0.803921568627451,1.0,0.6807228915662651,0.003215434083601286,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
4,2021-08-01,5,40.0,1.0,113.0,2.0,42.0,0.7843137254901961,1.0,0.6807228915662651,0.006430868167202572,0.21649484536082475,51.0,1.0,166.0,311.0,194.0
5,2021-08-01,6,43.0,1.0,112.0,1.0,42.0,0.8431372549019608,1.0,0.6746987951807228,0.003215434083601286,0.21649484536082475,51.0,1.0,166.0,311.0,194.0
6,2021-08-01,7,44.0,1.0,112.0,3.0,43.0,0.8627450980392157,1.0,0.6746987951807228,0.00964630225080386,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
7,2021-08-01,8,44.0,1.0,114.0,263.0,43.0,0.8627450980392157,1.0,0.6867469879518072,0.8456591639871383,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
8,2021-08-01,9,43.0,1.0,113.0,278.0,43.0,0.8431372549019608,1.0,0.6807228915662651,0.8938906752411575,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
9,2021-08-01,10,44.0,1.0,113.0,283.0,43.0,0.8627450980392157,1.0,0.6807228915662651,0.909967845659164,0.22164948453608246,51.0,1.0,166.0,311.0,194.0
10,2021-08-01,11,43.0,1.0,111.0,283.0,42.0,0.8431372549019608,1.0,0.6686746987951807,0.909967845659164,0.21649484536082475,51.0,1.0,166.0,311.0,194.0
11,2021-08-01,12,42.0,1.0,111.0,283.0,42.0,0.8235294117647058,1.0,0.6686746987951807,0.909967845659164,0.21649484536082475,51.0,1.0,166.0,311.0,194.0
12,2021-08-01,13,42.0,1.0,110.0,288.0,42.0,0.8235294117647058,1.0,0.6626506024096386,0.9260450160771704,0.21649484536082475,51.0,1.0,166.0,311.0,194.0
13,2021-08-01,14,43.0,1.0,112.0,287.0,45.0,0.8431372549019608,1.0,0.6746987951807228,0.9228295819935691,0.23195876288659795,51.0,1.0,166.0,311.0,194.0
14,2021-08-01,15,43.0,1.0,113.0,287.0,46.0,0.8431372549019608,1.0,0.6807228915662651,0.9228295819935691,0.23711340206185566,51.0,1.0,166.0,311.0,194.0
15,2021-08-01,16,44.0,1.0,113.0,286.0,45.0,0.8627450980392157,1.0,0.6807228915662651,0.9196141479099679,0.23195876288659795,51.0,1.0,166.0,311.0,194.0
16,2021-08-01,17,44.0,1.0,113.0,284.0,46.0,0.8627450980392157,1.0,0.6807228915662651,0.9131832797427653,0.23711340206185566,51.0,1.0,166.0,311.0,194.0
17,2021-08-01,18,43.0,1.0,114.0,281.0,54.0,0.8431372549019608,1.0,0.6867469879518072,0.9035369774919614,0.27835051546391754,51.0,1.0,166.0,311.0,194.0
18,2021-08-01,19,43.0,1.0,116.0,238.0,56.0,0.8431372549019608,1.0,0.6987951807228916,0.7652733118971061,0.28865979381443296,51.0,1.0,166.0,311.0,194.0
19,2021-08-01,20,42.0,1.0,118.0,7.0,70.0,0.8235294117647058,1.0,0.7108433734939759,0.022508038585209004,0.36082474226804123,51.0,1.0,166.0,311.0,194.0
20,2021-08-01,21,40.0,1.0,120.0,2.0,73.0,0.7843137254901961,1.0,0.7228915662650602,0.006430868167202572,0.37628865979381443,51.0,1.0,166.0,311.0,194.0
21,2021-08-01,22,36.0,1.0,120.0,2.0,76.0,0.7058823529411765,1.0,0.7228915662650602,0.006430868167202572,0.3917525773195876,51.0,1.0,166.0,311.0,194.0
22,2021-08-01,23,37.0,1.0,119.0,1.0,77.0,0.7254901960784313,1.0,0.7168674698795181,0.003215434083601286,0.39690721649484534,51.0,1.0,166.0,311.0,194.0
23,2021-08-01,24,40.0,1.0,119.0,1.0,69.0,0.7843137254901961,1.0,0.7168674698795181,0.003215434083601286,0.3556701030927835,51.0,1.0,166.0,311.0,194.0
24,2021-08-02,1,41.0,1.0,114.0,2.0,53.0,0.803921568627451,1.0,0.6867469879518072,0.006430868167202572,0.2789473684210526,51.0,1.0,166.0,311.0,190.0
25,2021-08-02,2,41.0,1.0,112.0,2.0,53.0,0.803921568627451,1.0,0.6746987951807228,0.006430868167202572,0.2789473684210526,51.0,1.0,166.0,311.0,190.0
26,2021-08-02,3,40.0,1.0,107.0,2.0,51.0,0.7843137254901961,1.0,0.6445783132530121,0.006430868167202572,0.26842105263157895,51.0,1.0,166.0,311.0,190.0
27,2021-08-02,4,38.0,1.0,107.0,1.0,47.0,0.7450980392156863,1.0,0.6445783132530121,0.003215434083601286,0.24736842105263157,51.0,1.0,166.0,311.0,190.0
28,2021-08-02,5,40.0,1.0,106.0,1.0,46.0,0.7843137254901961,1.0,0.6385542168674698,0.003215434083601286,0.24210526315789474,51.0,1.0,166.0,311.0,190.0
29,2021-08-02,6,37.0,1.0,108.0,1.0,47.0,0.7254901960784313,1.0,0.6506024096385542,0.003215434083601286,0.24736842105263157,51.0,1.0,166.0,311.0,190.0
30,2021-08-02,7,37.0,1.0,110.0,3.0,47.0,0.7254901960784313,1.0,0.6626506024096386,0.00964630225080386,0.24736842105263157,51.0,1.0,166.0,311.0,190.0
31,2021-08-02,8,42.0,1.0,110.0,261.0,50.0,0.8235294117647058,1.0,0.6626506024096386,0.8392282958199357,0.2631578947368421,51.0,1.0,166.0,311.0,190.0
32,2021-08-02,9,41.0,1.0,111.0,278.0,52.0,0.803921568627451,1.0,0.6686746987951807,0.8938906752411575,0.2736842105263158,51.0,1.0,166.0,311.0,190.0
33,2021-08-02,10,41.0,1.0,110.0,285.0,62.0,0.803921568627451,1.0,0.6626506024096386,0.9163987138263665,0.3263157894736842,51.0,1.0,166.0,311.0,190.0
34,2021-08-02,11,43.0,1.0,109.0,285.0,59.0,0.8431372549019608,1.0,0.6566265060240963,0.9163987138263665,0.3105263157894737,51.0,1.0,166.0,311.0,190.0
35,2021-08-02,12,43.0,1.0,107.0,286.0,55.0,0.8431372549019608,1.0,0.6445783132530121,0.9225806451612903,0.2894736842105263,51.0,1.0,166.0,310.0,190.0
36,2021-08-02,13,42.0,1.0,105.0,286.0,55.0,0.8235294117647058,1.0,0.6325301204819277,0.9225806451612903,0.2894736842105263,51.0,1.0,166.0,310.0,190.0
37,2021-08-02,14,43.0,1.0,108.0,288.0,51.0,0.8431372549019608,1.0,0.6506024096385542,0.9290322580645162,0.26842105263157895,51.0,1.0,166.0,310.0,190.0
38,2021-08-02,15,44.0,1.0,107.0,287.0,51.0,0.8627450980392157,1.0,0.6445783132530121,0.9258064516129032,0.26842105263157895,51.0,1.0,166.0,310.0,190.0
39,2021-08-02,16,42.0,1.0,107.0,285.0,51.0,0.8235294117647058,1.0,0.6445783132530121,0.9193548387096774,0.26842105263157895,51.0,1.0,166.0,310.0,190.0
40,2021-08-02,17,37.0,1.0,107.0,285.0,53.0,0.7254901960784313,1.0,0.6445783132530121,0.9193548387096774,0.2789473684210526,51.0,1.0,166.0,310.0,190.0
41,2021-08-02,18,38.0,1.0,111.0,284.0,54.0,0.7450980392156863,1.0,0.6686746987951807,0.9131832797427653,0.28421052631578947,51.0,1.0,166.0,311.0,190.0
42,2021-08-02,19,38.0,1.0,113.0,241.0,62.0,0.7450980392156863,1.0,0.6807228915662651,0.77491961414791,0.3263157894736842,51.0,1.0,166.0,311.0,190.0
43,2021-08-02,20,39.0,1.0,112.0,6.0,64.0,0.7647058823529411,1.0,0.6746987951807228,0.01929260450160772,0.3368421052631579,51.0,1.0,166.0,311.0,190.0
44,2021-08-02,21,39.0,1.0,114.0,1.0,64.0,0.7647058823529411,1.0,0.6867469879518072,0.003215434083601286,0.3368421052631579,51.0,1.0,166.0,311.0,190.0
45,2021-08-02,22,33.0,1.0,114.0,1.0,62.0,0.6470588235294118,1.0,0.6867469879518072,0.003215434083601286,0.3263157894736842,51.0,1.0,166.0,311.0,190.0
