,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2023-12-01,1,49.0,1.0,133.0,4.0,42.0,0.8166666666666667,1.0,0.7732558139534884,0.007352941176470588,0.2079207920792079,60.0,1.0,172.0,544.0,202.0
1,2023-12-01,2,43.0,1.0,133.0,5.0,38.0,0.7166666666666667,1.0,0.7732558139534884,0.009191176470588236,0.18811881188118812,60.0,1.0,172.0,544.0,202.0
2,2023-12-01,3,42.0,1.0,132.0,5.0,38.0,0.7,1.0,0.7674418604651163,0.009191176470588236,0.18811881188118812,60.0,1.0,172.0,544.0,202.0
3,2023-12-01,4,41.0,1.0,132.0,4.0,37.0,0.6833333333333333,1.0,0.7674418604651163,0.007352941176470588,0.18316831683168316,60.0,1.0,172.0,544.0,202.0
4,2023-12-01,5,33.0,1.0,134.0,3.0,35.0,0.55,1.0,0.7790697674418605,0.0055147058823529415,0.17326732673267325,60.0,1.0,172.0,544.0,202.0
5,2023-12-01,6,35.0,1.0,134.0,7.0,36.0,0.5833333333333334,1.0,0.7790697674418605,0.012867647058823529,0.1782178217821782,60.0,1.0,172.0,544.0,202.0
6,2023-12-01,7,38.0,1.0,134.0,405.0,35.0,0.6333333333333333,1.0,0.7790697674418605,0.7444852941176471,0.17326732673267325,60.0,1.0,172.0,544.0,202.0
7,2023-12-01,8,40.0,1.0,134.0,488.0,39.0,0.6666666666666666,1.0,0.7790697674418605,0.8970588235294118,0.19306930693069307,60.0,1.0,172.0,544.0,202.0
8,2023-12-01,9,38.0,1.0,135.0,495.0,41.0,0.6333333333333333,1.0,0.7848837209302325,0.9099264705882353,0.20297029702970298,60.0,1.0,172.0,544.0,202.0
9,2023-12-01,10,46.0,1.0,132.0,498.0,38.0,0.7666666666666667,1.0,0.7674418604651163,0.9154411764705882,0.18811881188118812,60.0,1.0,172.0,544.0,202.0
