,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2024-10-01,1,56.0,1.0,143.0,4.0,38.0,0.875,1.0,0.8125,0.0062402496099844,0.1890547263681592,64.0,1.0,176.0,641.0,201.0
1,2024-10-01,2,56.0,1.0,141.0,3.0,38.0,0.875,1.0,0.8011363636363636,0.0046801872074883,0.1890547263681592,64.0,1.0,176.0,641.0,201.0
2,2024-10-01,3,60.0,1.0,141.0,4.0,37.0,0.9375,1.0,0.8011363636363636,0.0062402496099844,0.18407960199004975,64.0,1.0,176.0,641.0,201.0
3,2024-10-01,4,58.0,1.0,139.0,5.0,34.0,0.90625,1.0,0.7897727272727273,0.0078003120124804995,0.1691542288557214,64.0,1.0,176.0,641.0,201.0
4,2024-10-01,5,57.0,1.0,140.0,9.0,34.0,0.890625,1.0,0.7954545454545454,0.014040561622464899,0.1691542288557214,64.0,1.0,176.0,641.0,201.0
5,2024-10-01,6,58.0,1.0,141.0,9.0,35.0,0.90625,1.0,0.8011363636363636,0.014040561622464899,0.17412935323383086,64.0,1.0,176.0,641.0,201.0
6,2024-10-01,7,58.0,1.0,140.0,15.0,36.0,0.90625,1.0,0.7954545454545454,0.0234009360374415,0.1791044776119403,64.0,1.0,176.0,641.0,201.0
7,2024-10-01,8,60.0,1.0,142.0,569.0,37.0,0.9375,1.0,0.8068181818181818,0.8876755070202809,0.18407960199004975,64.0,1.0,176.0,641.0,201.0
8,2024-10-01,9,59.0,1.0,140.0,586.0,36.0,0.921875,1.0,0.7954545454545454,0.9141965678627145,0.1791044776119403,64.0,1.0,176.0,641.0,201.0
9,2024-10-01,10,57.0,1.0,140.0,591.0,32.0,0.890625,1.0,0.7954545454545454,0.921996879875195,0.15920398009950248,64.0,1.0,176.0,641.0,201.0
10,2024-10-01,11,56.0,1.0,140.0,587.0,31.0,0.875,1.0,0.7954545454545454,0.9157566302652106,0.15422885572139303,64.0,1.0,176.0,641.0,201.0
11,2024-10-01,12,57.0,1.0,140.0,585.0,31.0,0.890625,1.0,0.7954545454545454,0.9126365054602185,0.15422885572139303,64.0,1.0,176.0,641.0,201.0
12,2024-10-01,13,59.0,1.0,140.0,585.0,31.0,0.921875,1.0,0.7954545454545454,0.9126365054602185,0.15422885572139303,64.0,1.0,176.0,641.0,201.0
13,2024-10-01,14,60.0,1.0,140.0,584.0,31.0,0.9375,1.0,0.7954545454545454,0.9110764430577223,0.15422885572139303,64.0,1.0,176.0,641.0,201.0
14,2024-10-01,15,60.0,1.0,139.0,584.0,31.0,0.9375,1.0,0.7897727272727273,0.9110764430577223,0.15422885572139303,64.0,1.0,176.0,641.0,201.0
15,2024-10-01,16,61.0,1.0,139.0,581.0,32.0,0.953125,1.0,0.7897727272727273,0.906396255850234,0.15920398009950248,64.0,1.0,176.0,641.0,201.0
16,2024-10-01,17,60.0,1.0,141.0,587.0,34.0,0.9375,1.0,0.8011363636363636,0.9157566302652106,0.1691542288557214,64.0,1.0,176.0,641.0,201.0
17,2024-10-01,18,60.0,1.0,139.0,586.0,35.0,0.9375,1.0,0.7897727272727273,0.9141965678627145,0.17412935323383086,64.0,1.0,176.0,641.0,201.0
18,2024-10-01,19,60.0,1.0,141.0,576.0,35.0,0.9375,1.0,0.8011363636363636,0.8985959438377535,0.17412935323383086,64.0,1.0,176.0,641.0,201.0
19,2024-10-01,20,60.0,1.0,145.0,566.0,36.0,0.9375,1.0,0.8238636363636364,0.8829953198127926,0.1791044776119403,64.0,1.0,176.0,641.0,201.0
20,2024-10-01,21,60.0,1.0,145.0,30.0,38.0,0.9375,1.0,0.8238636363636364,0.046801872074883,0.1890547263681592,64.0,1.0,176.0,641.0,201.0
21,2024-10-01,22,59.0,1.0,144.0,4.0,40.0,0.921875,1.0,0.8181818181818182,0.0062402496099844,0.19900497512437812,64.0,1.0,176.0,641.0,201.0
22,2024-10-01,23,57.0,1.0,144.0,4.0,41.0,0.890625,1.0,0.8181818181818182,0.0062402496099844,0.20398009950248755,64.0,1.0,176.0,641.0,201.0
23,2024-10-01,24,58.0,1.0,143.0,4.0,40.0,0.90625,1.0,0.8125,0.0062402496099844,0.19900497512437812,64.0,1.0,176.0,641.0,201.0
24,2024-10-02,1,58.0,1.0,142.0,6.0,40.0,0.90625,1.0,0.8068181818181818,0.009302325581395349,0.19900497512437812,64.0,1.0,176.0,645.0,201.0
25,2024-10-02,2,58.0,1.0,141.0,4.0,37.0,0.90625,1.0,0.8011363636363636,0.006201550387596899,0.18407960199004975,64.0,1.0,176.0,645.0,201.0
26,2024-10-02,3,58.0,1.0,141.0,5.0,36.0,0.90625,1.0,0.8011363636363636,0.007751937984496124,0.1791044776119403,64.0,1.0,176.0,645.0,201.0
27,2024-10-02,4,58.0,1.0,140.0,6.0,35.0,0.90625,1.0,0.7954545454545454,0.009302325581395349,0.17412935323383086,64.0,1.0,176.0,645.0,201.0
28,2024-10-02,5,58.0,1.0,141.0,9.0,35.0,0.90625,1.0,0.8011363636363636,0.013953488372093023,0.17412935323383086,64.0,1.0,176.0,645.0,201.0
29,2024-10-02,6,58.0,1.0,142.0,9.0,35.0,0.90625,1.0,0.8068181818181818,0.013953488372093023,0.17412935323383086,64.0,1.0,176.0,645.0,201.0
30,2024-10-02,7,59.0,1.0,143.0,15.0,36.0,0.921875,1.0,0.8125,0.023255813953488372,0.1791044776119403,64.0,1.0,176.0,645.0,201.0
