,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2023-10-01,1,40.0,1.0,113.0,3.0,46.0,0.6666666666666666,1.0,0.6569767441860465,0.0057251908396946565,0.22660098522167488,60.0,1.0,172.0,524.0,203.0
1,2023-10-01,2,38.0,1.0,114.0,3.0,41.0,0.6333333333333333,1.0,0.6627906976744186,0.0057251908396946565,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
2,2023-10-01,3,39.0,1.0,113.0,3.0,43.0,0.65,1.0,0.6569767441860465,0.0057251908396946565,0.21182266009852216,60.0,1.0,172.0,524.0,203.0
3,2023-10-01,4,36.0,1.0,112.0,3.0,41.0,0.6,1.0,0.6511627906976745,0.0057251908396946565,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
4,2023-10-01,5,32.0,1.0,111.0,3.0,41.0,0.5333333333333333,1.0,0.6453488372093024,0.0057251908396946565,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
5,2023-10-01,6,28.0,1.0,113.0,3.0,41.0,0.4666666666666667,1.0,0.6569767441860465,0.0057251908396946565,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
6,2023-10-01,7,25.0,1.0,112.0,7.0,41.0,0.4166666666666667,1.0,0.6511627906976745,0.013358778625954198,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
7,2023-10-01,8,27.0,1.0,113.0,429.0,41.0,0.45,1.0,0.6569767441860465,0.8187022900763359,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
8,2023-10-01,9,29.0,1.0,114.0,465.0,40.0,0.48333333333333334,1.0,0.6627906976744186,0.8874045801526718,0.19704433497536947,60.0,1.0,172.0,524.0,203.0
9,2023-10-01,10,27.0,1.0,112.0,465.0,32.0,0.45,1.0,0.6511627906976745,0.8874045801526718,0.15763546798029557,60.0,1.0,172.0,524.0,203.0
10,2023-10-01,11,25.0,1.0,113.0,472.0,33.0,0.4166666666666667,1.0,0.6569767441860465,0.9007633587786259,0.1625615763546798,60.0,1.0,172.0,524.0,203.0
11,2023-10-01,12,27.0,1.0,112.0,473.0,34.0,0.45,1.0,0.6511627906976745,0.9026717557251909,0.16748768472906403,60.0,1.0,172.0,524.0,203.0
12,2023-10-01,13,26.0,1.0,111.0,475.0,34.0,0.43333333333333335,1.0,0.6453488372093024,0.9064885496183206,0.16748768472906403,60.0,1.0,172.0,524.0,203.0
13,2023-10-01,14,30.0,1.0,113.0,474.0,35.0,0.5,1.0,0.6569767441860465,0.9045801526717557,0.1724137931034483,60.0,1.0,172.0,524.0,203.0
14,2023-10-01,15,27.0,1.0,113.0,476.0,37.0,0.45,1.0,0.6569767441860465,0.9083969465648855,0.18226600985221675,60.0,1.0,172.0,524.0,203.0
15,2023-10-01,16,31.0,1.0,111.0,478.0,37.0,0.5166666666666667,1.0,0.6453488372093024,0.9122137404580153,0.18226600985221675,60.0,1.0,172.0,524.0,203.0
16,2023-10-01,17,37.0,1.0,111.0,479.0,36.0,0.6166666666666667,1.0,0.6453488372093024,0.9141221374045801,0.17733990147783252,60.0,1.0,172.0,524.0,203.0
17,2023-10-01,18,40.0,1.0,112.0,479.0,41.0,0.6666666666666666,1.0,0.6511627906976745,0.9141221374045801,0.2019704433497537,60.0,1.0,172.0,524.0,203.0
18,2023-10-01,19,38.0,1.0,114.0,476.0,42.0,0.6333333333333333,1.0,0.6627906976744186,0.9083969465648855,0.20689655172413793,60.0,1.0,172.0,524.0,203.0
