,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2020-07-01,1,35.0,1.0,114.0,1.0,47.0,0.9210526315789473,1.0,0.7125,0.0047169811320754715,0.27011494252873564,38.0,1.0,160.0,212.0,174.0
1,2020-07-01,2,35.0,1.0,114.0,1.0,44.0,0.9210526315789473,1.0,0.7125,0.0047169811320754715,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
2,2020-07-01,3,35.0,1.0,113.0,1.0,44.0,0.9210526315789473,1.0,0.70625,0.0047169811320754715,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
3,2020-07-01,4,35.0,1.0,113.0,1.0,44.0,0.9210526315789473,1.0,0.70625,0.0047169811320754715,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
4,2020-07-01,5,35.0,1.0,113.0,1.0,45.0,0.9210526315789473,1.0,0.70625,0.0047169811320754715,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
5,2020-07-01,6,35.0,1.0,113.0,1.0,45.0,0.9210526315789473,1.0,0.70625,0.0047169811320754715,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
6,2020-07-01,7,33.0,1.0,113.0,1.0,45.0,0.868421052631579,1.0,0.70625,0.0047169811320754715,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
7,2020-07-01,8,32.0,1.0,114.0,62.0,45.0,0.8421052631578947,1.0,0.7125,0.29245283018867924,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
8,2020-07-01,9,33.0,1.0,115.0,186.0,44.0,0.868421052631579,1.0,0.71875,0.8773584905660378,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
9,2020-07-01,10,33.0,1.0,117.0,192.0,44.0,0.868421052631579,1.0,0.73125,0.9056603773584906,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
10,2020-07-01,11,35.0,1.0,119.0,193.0,42.0,0.9210526315789473,1.0,0.74375,0.910377358490566,0.2413793103448276,38.0,1.0,160.0,212.0,174.0
11,2020-07-01,12,33.0,1.0,118.0,194.0,42.0,0.868421052631579,1.0,0.7375,0.9150943396226415,0.2413793103448276,38.0,1.0,160.0,212.0,174.0
12,2020-07-01,13,33.0,1.0,118.0,195.0,44.0,0.868421052631579,1.0,0.7375,0.9198113207547169,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
13,2020-07-01,14,35.0,1.0,121.0,195.0,43.0,0.9210526315789473,1.0,0.75625,0.9198113207547169,0.2471264367816092,38.0,1.0,160.0,212.0,174.0
14,2020-07-01,15,34.0,1.0,117.0,194.0,45.0,0.8947368421052632,1.0,0.73125,0.9150943396226415,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
15,2020-07-01,16,34.0,1.0,117.0,194.0,48.0,0.8947368421052632,1.0,0.73125,0.9150943396226415,0.27586206896551724,38.0,1.0,160.0,212.0,174.0
16,2020-07-01,17,32.0,1.0,119.0,189.0,49.0,0.8421052631578947,1.0,0.74375,0.8915094339622641,0.28160919540229884,38.0,1.0,160.0,212.0,174.0
17,2020-07-01,18,34.0,1.0,120.0,187.0,49.0,0.8947368421052632,1.0,0.75,0.8820754716981132,0.28160919540229884,38.0,1.0,160.0,212.0,174.0
18,2020-07-01,19,33.0,1.0,120.0,17.0,49.0,0.868421052631579,1.0,0.75,0.08018867924528301,0.28160919540229884,38.0,1.0,160.0,212.0,174.0
19,2020-07-01,20,31.0,1.0,120.0,1.0,50.0,0.8157894736842105,1.0,0.75,0.0047169811320754715,0.28735632183908044,38.0,1.0,160.0,212.0,174.0
20,2020-07-01,21,29.0,1.0,121.0,1.0,50.0,0.7631578947368421,1.0,0.75625,0.0047169811320754715,0.28735632183908044,38.0,1.0,160.0,212.0,174.0
21,2020-07-01,22,27.0,1.0,123.0,1.0,50.0,0.7105263157894737,1.0,0.76875,0.0047169811320754715,0.28735632183908044,38.0,1.0,160.0,212.0,174.0
22,2020-07-01,23,28.0,1.0,124.0,2.0,50.0,0.7368421052631579,1.0,0.775,0.009433962264150943,0.28735632183908044,38.0,1.0,160.0,212.0,174.0
23,2020-07-01,24,26.0,1.0,124.0,1.0,49.0,0.6842105263157895,1.0,0.775,0.0047169811320754715,0.28160919540229884,38.0,1.0,160.0,212.0,174.0
24,2020-07-02,1,24.0,1.0,119.0,1.0,48.0,0.631578947368421,1.0,0.74375,0.0047169811320754715,0.27586206896551724,38.0,1.0,160.0,212.0,174.0
25,2020-07-02,2,23.0,1.0,120.0,1.0,46.0,0.6052631578947368,1.0,0.75,0.0047169811320754715,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
26,2020-07-02,3,20.0,1.0,120.0,1.0,44.0,0.5263157894736842,1.0,0.75,0.0047169811320754715,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
27,2020-07-02,4,21.0,1.0,121.0,1.0,46.0,0.5526315789473685,1.0,0.75625,0.0047169811320754715,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
28,2020-07-02,5,20.0,1.0,119.0,1.0,46.0,0.5263157894736842,1.0,0.74375,0.0047169811320754715,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
29,2020-07-02,6,19.0,1.0,119.0,1.0,46.0,0.5,1.0,0.74375,0.0047169811320754715,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
30,2020-07-02,7,21.0,1.0,120.0,3.0,46.0,0.5526315789473685,1.0,0.75,0.014150943396226415,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
31,2020-07-02,8,21.0,1.0,120.0,132.0,46.0,0.5526315789473685,1.0,0.75,0.6226415094339622,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
32,2020-07-02,9,21.0,1.0,122.0,190.0,46.0,0.5526315789473685,1.0,0.7625,0.8962264150943396,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
33,2020-07-02,10,20.0,1.0,125.0,192.0,45.0,0.5263157894736842,1.0,0.78125,0.9056603773584906,0.25862068965517243,38.0,1.0,160.0,212.0,174.0
34,2020-07-02,11,20.0,1.0,126.0,193.0,44.0,0.5263157894736842,1.0,0.7875,0.910377358490566,0.25287356321839083,38.0,1.0,160.0,212.0,174.0
35,2020-07-02,12,21.0,1.0,124.0,194.0,46.0,0.5526315789473685,1.0,0.775,0.9150943396226415,0.26436781609195403,38.0,1.0,160.0,212.0,174.0
36,2020-07-02,13,20.0,1.0,121.0,196.0,48.0,0.5263157894736842,1.0,0.75625,0.9245283018867925,0.27586206896551724,38.0,1.0,160.0,212.0,174.0
37,2020-07-02,14,20.0,1.0,122.0,194.0,47.0,0.5263157894736842,1.0,0.7625,0.9150943396226415,0.27011494252873564,38.0,1.0,160.0,212.0,174.0
