,fecha_opreal,hora_opreal,active_plants_eolica,active_plants_geotermica,active_plants_hidraulica,active_plants_solar,active_plants_termica,percentage_active_eolica,percentage_active_geotermica,percentage_active_hidraulica,percentage_active_solar,percentage_active_termica,total_plants_eolica,total_plants_geotermica,total_plants_hidraulica,total_plants_solar,total_plants_termica
0,2022-02-01,1,40.0,2.0,128.0,2.0,46.0,0.7547169811320755,1.0,0.7529411764705882,0.0056657223796034,0.2358974358974359,53.0,2.0,170.0,353.0,195.0
1,2022-02-01,2,36.0,2.0,129.0,0.0,45.0,0.6792452830188679,1.0,0.7588235294117647,0.0,0.23076923076923078,53.0,2.0,170.0,353.0,195.0
2,2022-02-01,3,36.0,2.0,127.0,0.0,44.0,0.6792452830188679,1.0,0.7470588235294118,0.0,0.22564102564102564,53.0,2.0,170.0,353.0,195.0
3,2022-02-01,4,30.0,2.0,125.0,0.0,45.0,0.5660377358490566,1.0,0.7352941176470589,0.0,0.23076923076923078,53.0,2.0,170.0,353.0,195.0
4,2022-02-01,5,33.0,2.0,125.0,0.0,45.0,0.6226415094339622,1.0,0.7352941176470589,0.0,0.23076923076923078,53.0,2.0,170.0,353.0,195.0
5,2022-02-01,6,34.0,2.0,124.0,0.0,45.0,0.6415094339622641,1.0,0.7294117647058823,0.0,0.23076923076923078,53.0,2.0,170.0,353.0,195.0
6,2022-02-01,7,36.0,2.0,124.0,54.0,46.0,0.6792452830188679,1.0,0.7294117647058823,0.1529745042492918,0.2358974358974359,53.0,2.0,170.0,353.0,195.0
7,2022-02-01,8,42.0,2.0,125.0,310.0,46.0,0.7924528301886793,1.0,0.7352941176470589,0.8781869688385269,0.2358974358974359,53.0,2.0,170.0,353.0,195.0
8,2022-02-01,9,45.0,2.0,125.0,319.0,45.0,0.8490566037735849,1.0,0.7352941176470589,0.9036827195467422,0.23076923076923078,53.0,2.0,170.0,353.0,195.0
9,2022-02-01,10,46.0,2.0,124.0,321.0,48.0,0.8679245283018868,1.0,0.7294117647058823,0.9093484419263456,0.24615384615384617,53.0,2.0,170.0,353.0,195.0
